Version.[Version Name],Location.[Location],Sales Domain.[Customer Group],Time.[Partial Week],Item.[Item],Actual 12 Weeks,Actual 4 Weeks,Actual 8 Weeks,Actual External,Actual Final,Published Final Fcst Lag1 12weeks,Published Final Fcst Lag1 4weeks,Published Final Fcst Lag1 8weeks,Published Final Fcst Lag1 External,Published Final Fcst Lag1 Final
Baseline FY26,North America,Digital,2026-W12,NK-AP-IC-7267,11288.127038387594,3762.709012795865,7525.41802559173,376.2709012795865,3762.709012795865,12416.939742226357,4138.979914075452,8277.959828150904,188.13545063979325,4138.979914075452
Baseline FY26,EMEA,Digital,2026-W12,NK-AP-SFJ-6270,25889.056992534894,8629.685664178298,17259.371328356596,862.9685664178298,8629.685664178298,28477.962691788387,9492.654230596128,18985.308461192257,431.4842832089149,9492.654230596128
Baseline FY26,North America,Direct-to-Consumer,2026-W12,NK-JD-SL3-6270,28903.447651016402,9634.4825503388,19268.9651006776,963.4482550338801,9634.4825503388,31793.792416118045,10597.930805372682,21195.861610745364,481.72412751694003,10597.930805372682
Baseline FY26,North America,Digital,2026-W12,NK-BK-KD16-4343,57529.006387545356,19176.33546251512,38352.67092503024,1917.633546251512,19176.33546251512,63281.907026299894,21093.96900876663,42187.93801753326,958.816773125756,21093.96900876663
Baseline FY26,Greater China,Wholesale,2026-W12,NK-RA-RM-6972,5150.292073763194,1716.7640245877315,3433.528049175463,171.67640245877317,1716.7640245877315,5665.321281139514,1888.4404270465047,3776.8808540930095,85.83820122938658,1888.4404270465047
Baseline FY26,North America,Digital,2026-W12,NK-AM-270-6395,37246.341945032495,12415.447315010832,24830.894630021663,1241.5447315010833,12415.447315010832,40970.97613953575,13656.992046511916,27313.98409302383,620.7723657505417,13656.992046511916
Baseline FY26,North America,Wholesale,2026-W12,NK-CV-L-4209,13879.6867272208,4626.562242406933,9253.124484813867,462.65622424069335,4626.562242406933,15267.65539994288,5089.218466647627,10178.436933295254,231.32811212034667,5089.218466647627
Baseline FY26,Greater China,Wholesale,2026-W12,NK-CV-L-3082,20508.059027172247,6836.019675724083,13672.039351448166,683.6019675724083,6836.019675724083,22558.864929889474,7519.621643296492,15039.243286592984,341.80098378620414,7519.621643296492
Baseline FY26,Greater China,Wholesale,2026-W12,NK-VF-3-4153,6625.197987296872,2208.3993290989574,4416.798658197915,220.83993290989577,2208.3993290989574,7287.71778602656,2429.2392620088535,4858.478524017707,110.41996645494788,2429.2392620088535
Baseline FY26,North America,Digital,2026-W12,NK-AM-90-8250,57491.23292628715,19163.744308762383,38327.48861752477,1916.3744308762384,19163.744308762383,63240.35621891587,21080.118739638623,42160.237479277246,958.1872154381192,21080.118739638623
